pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,activation,5.4,22.400000000000006,2,21,5,False
REACTOME_DEVELOPMENTAL_BIOLOGY,activation,5.933333333333334,17.78095238095238,1,13,5,False
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,activation,6.0,37.42857142857142,1,24,5,False
REACTOME_INFECTIOUS_DISEASE,activation,7.4,27.257142857142856,1,14,5,False
REACTOME_INNATE_IMMUNE_SYSTEM,activation,7.533333333333333,51.409523809523805,1,24,5,False
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,activation,9.266666666666667,102.9238095238095,2,44,5,False
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,activation,13.0,135.85714285714286,1,41,5,False
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,activation,13.666666666666666,161.95238095238093,1,46,5,False
REACTOME_METABOLISM_OF_LIPIDS,activation,14.733333333333333,118.92380952380952,1,35,5,False
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,activation,16.866666666666667,159.55238095238093,4,49,5,False
REACTOME_METABOLISM_OF_RNA,activation,19.4,153.68571428571428,4,43,5,False
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,activation,19.466666666666665,225.69523809523804,1,63,5,False
REACTOME_CELL_CYCLE,activation,19.866666666666667,219.1238095238095,3,56,5,False
REACTOME_MEMBRANE_TRAFFICKING,activation,19.866666666666667,206.98095238095237,2,49,5,False
REACTOME_VESICLE_MEDIATED_TRANSPORT,activation,19.866666666666667,131.55238095238096,2,37,5,False
REACTOME_VIRAL_INFECTION_PATHWAYS,activation,20.8,128.88571428571427,7,43,5,False
REACTOME_HEMOSTASIS,activation,21.133333333333333,169.12380952380957,8,55,5,False
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,activation,21.6,208.82857142857142,5,56,5,False
REACTOME_SIGNALING_BY_GPCR,activation,21.866666666666667,123.6952380952381,11,54,5,False
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,activation,23.4,105.68571428571428,10,42,5,False
REACTOME_SIGNALING_BY_INTERLEUKINS,activation,25.933333333333334,150.92380952380952,5,48,5,False
REACTOME_NEUTROPHIL_DEGRANULATION,activation,28.066666666666666,770.2095238095238,9,96,5,False
REACTOME_SARS_COV_INFECTIONS,activation,28.933333333333334,180.3523809523809,12,53,5,False
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,activation,33.0,483.42857142857144,5,81,5,False
REACTOME_RHO_GTPASE_CYCLE,activation,34.8,429.31428571428575,6,86,5,False
