seed,fold,spearman_rank_correlation,top20_overlap,n_pathways
11,1,0.805342898600808,15,1297
11,2,0.781700972718706,17,1297
11,3,0.6714470729097051,13,1297
11,4,0.8650728554531987,11,1297
11,5,0.8055717860139407,12,1297
23,1,0.840274205536937,14,1297
23,2,0.7850287336863269,12,1297
23,3,0.8087745103021556,14,1297
23,4,0.8133430020885426,13,1297
23,5,0.8010353976452405,13,1297
37,1,0.8370124774000078,13,1297
37,2,0.8111773386413037,13,1297
37,3,0.8429163052625933,14,1297
37,4,0.8297976068989359,14,1297
37,5,0.8355454001615941,12,1297
