pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_DEVELOPMENTAL_BIOLOGY,integrated_gradients,5.933333333333334,69.20952380952382,1,32,5,False
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,integrated_gradients,7.8,147.02857142857138,1,43,5,False
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,integrated_gradients,8.0,94.28571428571426,1,41,5,False
REACTOME_HEMOSTASIS,integrated_gradients,11.266666666666667,35.63809523809524,3,25,5,False
REACTOME_INNATE_IMMUNE_SYSTEM,integrated_gradients,13.266666666666667,248.2095238095238,2,54,5,False
REACTOME_SIGNALING_BY_INTERLEUKINS,integrated_gradients,18.333333333333332,130.95238095238096,4,43,5,False
REACTOME_CELL_CYCLE,integrated_gradients,23.733333333333334,834.4952380952382,4,109,5,False
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,integrated_gradients,23.733333333333334,409.4952380952381,5,80,5,False
REACTOME_VIRAL_INFECTION_PATHWAYS,integrated_gradients,25.466666666666665,281.4095238095238,3,67,5,False
REACTOME_VESICLE_MEDIATED_TRANSPORT,integrated_gradients,25.733333333333334,347.06666666666666,5,74,5,False
REACTOME_INFECTIOUS_DISEASE,integrated_gradients,25.933333333333334,1161.7809523809526,2,112,5,False
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,integrated_gradients,27.466666666666665,2061.552380952381,1,179,5,False
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,integrated_gradients,30.2,847.8857142857141,3,89,5,False
REACTOME_NEUTROPHIL_DEGRANULATION,integrated_gradients,34.93333333333333,2169.495238095238,5,193,5,False
REACTOME_SENSORY_PERCEPTION,integrated_gradients,37.46666666666667,977.695238095238,10,143,5,False
REACTOME_SARS_COV_INFECTIONS,integrated_gradients,39.06666666666667,2521.6380952380946,9,214,5,False
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,integrated_gradients,40.06666666666667,1468.4952380952382,9,156,5,False
REACTOME_GPCR_LIGAND_BINDING,integrated_gradients,40.06666666666667,1994.9238095238093,5,161,5,False
REACTOME_RHO_GTPASE_CYCLE,integrated_gradients,40.4,2121.8285714285716,6,187,5,False
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,integrated_gradients,41.4,4305.828571428571,2,243,5,False
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,integrated_gradients,42.4,1876.685714285714,7,162,5,False
REACTOME_NEURONAL_SYSTEM,integrated_gradients,42.8,6892.742857142856,5,339,5,False
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,integrated_gradients,51.13333333333333,6337.123809523809,2,280,5,False
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,integrated_gradients,52.46666666666667,5033.838095238096,1,243,5,False
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,integrated_gradients,54.06666666666667,1204.3523809523808,14,152,5,False
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,integrated_gradients,58.2,2177.8857142857146,21,214,5,False
REACTOME_SIGNALING_BY_GPCR,integrated_gradients,58.2,15944.742857142855,3,484,5,False
REACTOME_CELL_CYCLE_MITOTIC,integrated_gradients,62.666666666666664,7132.238095238096,8,316,5,False
REACTOME_METABOLISM_OF_LIPIDS,integrated_gradients,66.0,20562.142857142848,2,570,5,False
REACTOME_SARS_COV_2_INFECTION,integrated_gradients,66.4,2107.1142857142854,15,169,5,False
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,integrated_gradients,66.66666666666667,1764.2380952380954,18,152,5,False
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,integrated_gradients,72.13333333333334,18407.980952380953,5,531,5,False
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,integrated_gradients,73.73333333333333,2111.9238095238093,14,173,5,False
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,integrated_gradients,74.0,6474.142857142856,11,316,5,False
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,integrated_gradients,74.2,30463.6,1,639,5,False
REACTOME_MEMBRANE_TRAFFICKING,integrated_gradients,74.26666666666667,24089.495238095235,4,561,5,False
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,integrated_gradients,75.86666666666666,1944.8380952380955,19,157,5,False
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,integrated_gradients,77.73333333333333,4716.495238095238,27,276,5,False
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,integrated_gradients,80.13333333333334,2396.980952380952,28,180,5,False
REACTOME_DISEASES_OF_METABOLISM,integrated_gradients,80.86666666666666,3002.9809523809527,21,232,5,False
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,integrated_gradients,85.06666666666666,18119.638095238097,25,562,5,False
REACTOME_MUSCLE_CONTRACTION,integrated_gradients,90.2,12460.6,14,439,5,False
REACTOME_DRUG_ADME,integrated_gradients,92.13333333333334,1472.2666666666664,43,168,5,False
REACTOME_METABOLISM_OF_RNA,integrated_gradients,93.0,26677.14285714285,7,673,5,False
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,integrated_gradients,94.06666666666666,1344.92380952381,31,167,5,False
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,integrated_gradients,95.26666666666667,27288.638095238093,19,684,5,False
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,integrated_gradients,99.86666666666666,25469.838095238094,18,653,5,False
REACTOME_RHO_GTPASE_EFFECTORS,integrated_gradients,100.53333333333333,11100.409523809527,13,432,5,False
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,integrated_gradients,100.53333333333333,5814.695238095236,33,323,5,False
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,integrated_gradients,103.86666666666666,7697.980952380953,25,368,5,False
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,integrated_gradients,104.46666666666667,20161.552380952377,8,512,5,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,integrated_gradients,104.93333333333334,3543.066666666666,22,276,5,False
REACTOME_HIV_INFECTION,integrated_gradients,106.4,6835.971428571427,19,325,5,False
REACTOME_M_PHASE,integrated_gradients,109.33333333333333,18709.380952380954,11,481,5,False
REACTOME_DEUBIQUITINATION,integrated_gradients,109.8,21586.028571428575,21,592,5,False
REACTOME_ION_CHANNEL_TRANSPORT,integrated_gradients,112.13333333333334,13298.838095238094,20,428,5,False
REACTOME_BIOLOGICAL_OXIDATIONS,integrated_gradients,113.93333333333334,39065.352380952376,14,819,5,False
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,integrated_gradients,114.0,7340.999999999999,17,331,5,False
REACTOME_PROGRAMMED_CELL_DEATH,integrated_gradients,120.06666666666666,16860.35238095238,21,530,5,False
REACTOME_SIGNALING_BY_NTRKS,integrated_gradients,121.13333333333334,5021.409523809525,58,324,5,False
REACTOME_FATTY_ACID_METABOLISM,integrated_gradients,121.33333333333333,29100.523809523806,32,716,5,False
REACTOME_ADIPOGENESIS,integrated_gradients,125.06666666666666,6947.066666666666,47,313,5,False
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,integrated_gradients,126.13333333333334,51554.83809523808,15,923,5,False
REACTOME_CHROMATIN_MODIFYING_ENZYMES,integrated_gradients,128.06666666666666,24791.209523809524,26,598,5,False
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,integrated_gradients,132.26666666666668,27341.638095238097,22,707,5,False
REACTOME_SARS_COV_2_HOST_INTERACTIONS,integrated_gradients,134.6,14845.685714285715,43,408,5,False
REACTOME_METABOLISM_OF_CARBOHYDRATES,integrated_gradients,135.0,36947.857142857145,17,589,5,False
REACTOME_CDC42_GTPASE_CYCLE,integrated_gradients,137.2,4988.028571428571,56,317,5,False
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,integrated_gradients,143.0,39335.71428571428,33,661,5,False
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,integrated_gradients,144.6,18051.542857142857,11,476,5,False
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,integrated_gradients,145.6,5392.257142857144,29,294,5,False
REACTOME_SIGNALING_BY_WNT,integrated_gradients,147.0,27810.571428571428,17,650,5,False
REACTOME_MITOTIC_G2_G2_M_PHASES,integrated_gradients,147.26666666666668,7330.780952380953,32,336,5,False
REACTOME_RAC1_GTPASE_CYCLE,integrated_gradients,154.26666666666668,67460.63809523809,36,1084,5,False
REACTOME_RHOA_GTPASE_CYCLE,integrated_gradients,154.66666666666666,15429.666666666666,29,430,5,False
REACTOME_LEISHMANIA_INFECTION,integrated_gradients,158.4,6357.542857142857,63,312,5,False
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,integrated_gradients,160.53333333333333,18265.266666666666,31,535,5,False
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,integrated_gradients,163.86666666666667,7178.552380952381,72,371,5,False
REACTOME_PTEN_REGULATION,integrated_gradients,164.86666666666667,31344.409523809525,27,744,5,False
REACTOME_MITOTIC_PROMETAPHASE,integrated_gradients,165.73333333333332,18053.780952380952,17,515,5,False
REACTOME_NEDDYLATION,integrated_gradients,165.86666666666667,19441.69523809524,49,469,5,False
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,integrated_gradients,165.93333333333334,15881.066666666668,43,517,5,False
